raceId,year,driverId,driver,median_pace_ms,leader_pace_ms,pace_gap_pct,mean_gap,std_gap,residual,z
901,2014,154,Romain Grosjean,108483.0,106523.0,1.8399782206659594,2.376069897168195,0.9146571972708218,-0.5360916765022357,-0.5861121282397822
901,2014,155,Kamui Kobayashi,109702.0,106523.0,2.9843320221923904,3.875558431432262,0.7841552095910036,-0.8912264092398718,-1.1365433760297454
901,2014,807,Nico Hülkenberg,107232.0,106523.0,0.6655839583939619,1.9377219215271062,1.2255369193024381,-1.2721379631331442,-1.0380250020188955
901,2014,817,Daniel Ricciardo,107308.0,106523.0,0.7369300526646827,1.4225304803628576,0.9090088996901978,-0.6856004276981749,-0.7542285096788782
901,2014,820,Max Chilton,110208.0,106523.0,3.4593468077316634,3.959260740940551,0.6443486489201323,-0.4999139332088878,-0.775843844860537
901,2014,821,Esteban Gutiérrez,109756.0,106523.0,3.0350252997005343,2.57939456584725,1.4141909382253144,0.4556307338532841,0.3221847358356438
901,2014,822,Valtteri Bottas,107676.0,106523.0,1.0823953512386997,1.285662633448945,1.2052574802191036,-0.20326728221024526,-0.1686505045986467
901,2014,825,Kevin Magnussen,107814.0,106523.0,1.211944838203956,2.4421932784219638,1.901694730988193,-1.2302484402180078,-0.6469221480035988
901,2014,826,Daniil Kvyat,108513.0,106523.0,1.8681411526149283,2.1152093418524482,1.1012352512701788,-0.24706818923751994,-0.22435550346989738
901,2014,828,Marcus Ericsson,110215.0,106523.0,3.4659181585197563,3.315349174023586,2.2666022984741865,0.15056898449617018,0.06642937960379243
902,2014,1,Lewis Hamilton,100250.0,100250.0,0.0,0.38892696880117944,0.4822604277395991,-0.38892696880117944,-0.8064666856953565
902,2014,3,Nico Rosberg,100444.5,100250.0,0.19401496259351622,0.25256286118291765,0.4419965640400648,-0.05854789858940143,-0.13246233874364316
