year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2020,12,210,Haas F1 Team,24,3,0.8611111111111112,0.056854191276742294
2020,12,211,Racing Point,24,3,0.8611111111111112,0.056854191276742294
2020,12,213,AlphaTauri,24,2,0.8888888888888888,0.051665617219475234
2020,13,1,McLaren,26,2,0.8947368421052632,0.049142082202518554
2020,13,3,Williams,26,1,0.9210526315789473,0.04317961337591405
2020,13,4,Renault,26,5,0.8157894736842105,0.06207460530152186
2020,13,6,Ferrari,26,2,0.8947368421052632,0.049142082202518554
2020,13,9,Red Bull,26,5,0.8157894736842105,0.06207460530152186
2020,13,51,Alfa Romeo,26,1,0.9210526315789473,0.04317961337591405
2020,13,131,Mercedes,26,1,0.9210526315789473,0.04317961337591405
2020,13,210,Haas F1 Team,26,3,0.868421052631579,0.05412850994785805
2020,13,211,Racing Point,26,3,0.868421052631579,0.05412850994785805
2020,13,213,AlphaTauri,26,3,0.868421052631579,0.05412850994785805
2020,14,1,McLaren,28,2,0.9,0.04685212856658182
2020,14,3,Williams,28,1,0.925,0.04113481701347057
2020,14,4,Renault,28,5,0.825,0.05934089200049687
2020,14,6,Ferrari,28,2,0.9,0.04685212856658182
2020,14,9,Red Bull,28,5,0.825,0.05934089200049687
2020,14,51,Alfa Romeo,28,2,0.9,0.04685212856658182
2020,14,131,Mercedes,28,1,0.925,0.04113481701347057
2020,14,210,Haas F1 Team,28,3,0.875,0.05164961690883359
2020,14,211,Racing Point,28,3,0.875,0.05164961690883359
2020,14,213,AlphaTauri,28,3,0.875,0.05164961690883359
2020,15,1,McLaren,30,2,0.9047619047619048,0.0447649677329075
2020,15,3,Williams,30,1,0.9285714285714286,0.039274386769225546
2020,15,4,Renault,30,5,0.8333333333333334,0.05683286162253946
2020,15,6,Ferrari,30,2,0.9047619047619048,0.0447649677329075
2020,15,9,Red Bull,30,5,0.8333333333333334,0.05683286162253946
2020,15,51,Alfa Romeo,30,2,0.9047619047619048,0.0447649677329075
2020,15,131,Mercedes,30,1,0.9285714285714286,0.039274386769225546
2020,15,210,Haas F1 Team,30,3,0.8809523809523809,0.049385828738172384
2020,15,211,Racing Point,30,4,0.8571428571428572,0.053363383402687745
2020,15,213,AlphaTauri,30,3,0.8809523809523809,0.049385828738172384
2020,16,1,McLaren,32,2,0.9090909090909091,0.04285495643554833
2020,16,3,Williams,32,2,0.9090909090909091,0.04285495643554833
2020,16,4,Renault,32,5,0.8409090909090909,0.05452440671347449
2020,16,6,Ferrari,32,2,0.9090909090909091,0.04285495643554833
2020,16,9,Red Bull,32,5,0.8409090909090909,0.05452440671347449
2020,16,51,Alfa Romeo,32,2,0.9090909090909091,0.04285495643554833
2020,16,131,Mercedes,32,1,0.9318181818181819,0.0375745356595068
2020,16,210,Haas F1 Team,32,3,0.8863636363636364,0.04731059089695756
2020,16,211,Racing Point,32,4,0.8636363636363636,0.051157403079194336
2020,16,213,AlphaTauri,32,3,0.8863636363636364,0.04731059089695756
2020,17,1,McLaren,34,2,0.9130434782608696,0.04110057334231834
2020,17,3,Williams,34,2,0.9130434782608696,0.04110057334231834
2020,17,4,Renault,34,5,0.8478260869565217,0.05239315637308316
2020,17,6,Ferrari,34,2,0.9130434782608696,0.04110057334231834
2020,17,9,Red Bull,34,5,0.8478260869565217,0.05239315637308316
2020,17,51,Alfa Romeo,34,2,0.9130434782608696,0.04110057334231834
2020,17,131,Mercedes,34,1,0.9347826086956522,0.03601538772075997
2020,17,210,Haas F1 Team,34,3,0.8913043478260869,0.04540149668833002
2020,17,211,Racing Point,34,5,0.8478260869565217,0.05239315637308316
2020,17,213,AlphaTauri,34,3,0.8913043478260869,0.04540149668833002
2021,1,1,McLaren,2,0,0.8571428571428572,0.09035079029052512
2021,1,3,Williams,2,0,0.8571428571428572,0.09035079029052512
2021,1,6,Ferrari,2,0,0.8571428571428572,0.09035079029052512
2021,1,9,Red Bull,2,0,0.8571428571428572,0.09035079029052512
2021,1,51,Alfa Romeo,2,0,0.8571428571428572,0.09035079029052512
2021,1,117,Aston Martin,2,0,0.8571428571428572,0.09035079029052512
