year,round,driverId,driver,mu,sigma,event
2014,1,155,Kamui Kobayashi,22.73645535157849,8.277981933569851,race
2014,2,1,Lewis Hamilton,31.07589520303314,8.329037946746515,quali
2014,2,20,Sebastian Vettel,28.311082214492096,8.282779691710909,quali
2014,2,3,Nico Rosberg,33.88570886856185,8.312214275240972,quali
2014,2,4,Fernando Alonso,32.52108977278955,8.284224513531537,quali
2014,2,817,Daniel Ricciardo,30.24388184040006,8.314627663597328,quali
2014,2,8,Kimi Räikkönen,29.547688362687538,8.22968184785595,quali
2014,2,807,Nico Hülkenberg,30.877789025603036,8.252876633771757,quali
2014,2,825,Kevin Magnussen,32.407152173382144,8.285498704379597,quali
2014,2,818,Jean-Éric Vergne,29.79469163511606,8.230305291930192,quali
2014,2,18,Jenson Button,30.169754651713436,8.247131968889866,quali
2014,2,826,Daniil Kvyat,28.422704857308226,8.20549799803644,quali
2014,2,821,Esteban Gutiérrez,24.913364308377133,8.245983800152798,quali
2014,2,13,Felipe Massa,25.65971392185637,8.218971836224595,quali
2014,2,815,Sergio Pérez,25.23513983274117,8.190966309248331,quali
2014,2,822,Valtteri Bottas,28.51662055638829,8.25590328451769,quali
2014,2,154,Romain Grosjean,23.497848439560965,8.28805766225422,quali
2014,2,813,Pastor Maldonado,22.591094455411874,8.286341509272757,quali
2014,2,16,Adrian Sutil,24.52397350869359,8.239966450488238,quali
2014,2,824,Jules Bianchi,23.092620249631178,8.255920011894792,quali
2014,2,155,Kamui Kobayashi,21.867404103578533,8.253060539101092,quali
2014,2,820,Max Chilton,22.87045390690998,8.256130832723763,quali
2014,2,828,Marcus Ericsson,21.937904733908567,8.27756781062208,quali
2014,2,1,Lewis Hamilton,34.667699691296875,8.322470849748564,race
2014,2,3,Nico Rosberg,37.116868334269796,8.297208743609778,race
2014,2,20,Sebastian Vettel,31.30842851914343,8.26262056287283,race
2014,2,4,Fernando Alonso,35.04956835434102,8.252830899984714,race
2014,2,807,Nico Hülkenberg,33.06088241396101,8.214056121012385,race
2014,2,18,Jenson Button,31.96302021172881,8.199214416731655,race
2014,2,13,Felipe Massa,27.26394477944707,8.167175627089934,race
2014,2,822,Valtteri Bottas,29.448951921126042,8.1874719133673,race
2014,2,825,Kevin Magnussen,32.39555845357292,8.263128540829296,race
2014,2,826,Daniil Kvyat,28.33828104564352,8.182317458032456,race
2014,2,154,Romain Grosjean,23.357123730488517,8.262625987407679,race
2014,2,8,Kimi Räikkönen,28.93563296054687,8.195954784779744,race
2014,2,155,Kamui Kobayashi,21.24025864804005,8.218928831684918,race
2014,2,828,Marcus Ericsson,20.832266586291404,8.236569845995032,race
2014,2,820,Max Chilton,20.765725868041105,8.214846056380232,race
2014,3,3,Nico Rosberg,40.119457515603266,8.294553739963467,quali
2014,3,1,Lewis Hamilton,37.51990804611418,8.316823986791645,quali
2014,3,817,Daniel Ricciardo,32.95399094371016,8.306584886435354,quali
